Time;f60_US_TX01;QI_US_TX01
2019-05-15 04:44:14;7.88624;0
2019-05-15 04:44:15;9.81088;0
2019-05-15 04:44:16;10.7106;0
2019-05-15 04:44:17;10.4513;0
2019-05-15 04:44:18;9.34066;0
2019-05-15 04:44:19;8.33154;0
2019-05-15 04:44:20;7.5304;0
2019-05-15 04:44:21;7.07363;0
2019-05-15 04:44:22;6.62189;0
2019-05-15 04:44:23;5.96493;0
2019-05-15 04:44:24;5.45827;0
2019-05-15 04:44:25;5.85345;0
2019-05-15 04:44:26;6.4553;0
2019-05-15 04:44:27;7.18935;0
2019-05-15 04:44:28;4.92867;0
2019-05-15 04:44:29;2.24177;0
2019-05-15 04:44:30;-0.627043;0
2019-05-15 04:44:31;-2.14023;0
2019-05-15 04:44:32;-5.13203;0
2019-05-15 04:44:33;-7.68787;0
2019-05-15 04:44:34;-10.4785;0
2019-05-15 04:44:35;-12.5446;0
2019-05-15 04:44:36;-13.6266;0
2019-05-15 04:44:37;-14.9253;0
2019-05-15 04:44:38;-15.6718;0
2019-05-15 04:44:39;-15.3117;0
2019-05-15 04:44:40;-14.732;0
2019-05-15 04:44:41;-15.6727;0
2019-05-15 04:44:42;-15.5413;0
2019-05-15 04:44:43;-14.2156;0
2019-05-15 04:44:44;-12.918;0
2019-05-15 04:44:45;-11.1727;0
2019-05-15 04:44:46;-10.0112;0
2019-05-15 04:44:47;-8.81438;0
2019-05-15 04:44:48;-8.78071;0
2019-05-15 04:44:49;-10.029;0
2019-05-15 04:44:50;-10.2592;0
2019-05-15 04:44:51;-9.43354;0
2019-05-15 04:44:52;-9.64015;0
2019-05-15 04:44:53;-9.95223;0
2019-05-15 04:44:54;-9.33052;0
2019-05-15 04:44:55;-7.25731;0
2019-05-15 04:44:56;-4.88486;0
2019-05-15 04:44:57;-3.64474;0
2019-05-15 04:44:58;-2.76296;0
2019-05-15 04:44:59;-2.49452;0
2019-05-15 04:45:00;-3.33574;0
2019-05-15 04:45:01;-5.0872;0
2019-05-15 04:45:02;-5.80152;0
2019-05-15 04:45:03;-6.4658;0
2019-05-15 04:45:04;-6.50768;0
2019-05-15 04:45:05;-5.23695;0
2019-05-15 04:45:06;-3.90009;0
2019-05-15 04:45:07;-2.78228;0
2019-05-15 04:45:08;-1.85384;0
2019-05-15 04:45:09;-2.55106;0
2019-05-15 04:45:10;-3.13913;0
2019-05-15 04:45:11;-4.21273;0
2019-05-15 04:45:12;-4.5683;0
2019-05-15 04:45:13;-5.32094;0
2019-05-15 04:45:14;-5.37923;0
2019-05-15 04:45:15;-5.84367;0
2019-05-15 04:45:16;-6.44888;0
2019-05-15 04:45:17;-5.66977;0
2019-05-15 04:45:18;-5.35558;0
